id,name,serving_size,calories,total_fat,protein,carbohydrate
5627,"MARTHA WHITE FOODS, dry, Martha White's Buttermilk Biscuit Mix",100 g,388,13g,7.81 g,59.41 g
5628,"Potatoes, without salt, drained, boiled, cooked, whole, frozen",100 g,65,0.1g,1.98 g,14.52 g
5629,"Soup, prepared with equal volume water, canned, vegetable beef",100 g,31,0.8g,2.23 g,4.06 g
5630,"CAMPBELL'S CHUNKY Soups, Baked Potato with Steak & Cheese Soup",100 g,82,4.1g,3.27 g,8.57 g
5631,"Cereals ready-to-eat, KELLOGG'S SPECIAL K Red Berries, KELLOGG",100 g,358,1.3g,6.30 g,87.09 g
5632,"Potatoes, home-prepared from recipe using margarine, au gratin",100 g,132,7.6g,5.06 g,11.27 g
5633,"Soup, prepared with equal volume water, canned, chicken noodle",100 g,24,0.8g,1.16 g,2.97 g
5634,"Beverages, prepared with water, sweetened, lemon, instant, tea",100 g,35,0.1g,0.01 g,8.61 g
5635,"Fast Food, thick crust, cheese topping, 14"" pizza, Pizza Chain",100 g,271,11g,10.81 g,33.17 g
5636,"Crustaceans, moist heat, cooked, wild, mixed species, crayfish",100 g,82,1.2g,16.77 g,0.00 g
5637,"Cereals ready-to-eat, HONEY CLUSTERS, FIBER ONE, GENERAL MILLS",100 g,323,2.6g,7.69 g,83.90 g
5638,"Beef, braised, cooked, pancreas, variety meats and by-products",100 g,271,17g,27.10 g,0.00 g
5639,"Veal, roasted, cooked, separable lean and fat, blade, shoulder",100 g,186,8.7g,25.15 g,0.00 g
5640,"Veal, roasted, cooked, separable lean and fat, leg (top round)",100 g,160,4.7g,27.70 g,0.00 g
5641,"Veal, braised, cooked, separable lean and fat, leg (top round)",100 g,211,6.3g,36.16 g,0.00 g
5642,"Beans, without salt, boiled, cooked, mature seeds, red, kidney",100 g,127,0.5g,8.67 g,22.80 g
5643,"Pork, roasted, cooked, separable lean and fat, backribs, fresh",100 g,292,22g,23.01 g,0.00 g
5644,"Pigeonpeas, with salt, drained, boiled, cooked, immature seeds",100 g,111,1.4g,5.96 g,19.49 g
5645,"Chicken, raw, with added solution, meat only, thigh, dark meat",100 g,110,3.7g,19.11 g,0.00 g
5646,"Milk, with blend of hydrogenated vegetable oils, fluid, filled",100 g,63,3.5g,3.33 g,4.74 g
5647,"Babyfood, prepared with whole milk, with bananas, rice, cereal",100 g,86,3.3g,3.57 g,10.49 g
5648,"Babyfood, strained, with applesauce and bananas, mixed, cereal",100 g,82,0.5g,1.20 g,18.00 g
5649,"Fast foods, plain, boneless pieces, breaded and fried, chicken",100 g,307,20g,15.92 g,14.93 g
5650,"DIGIORNO Pizza, baked, frozen, rising crust, pepperoni topping",100 g,265,10g,12.46 g,31.15 g
5651,"KELLOGG'S, Frosted Cookies & Creme Toaster Pastries, POP-TARTS",100 g,379,9.8g,4.90 g,69.30 g
5652,"Chicken, stewed, cooked, meat only, breast, broilers or fryers",100 g,151,3g,28.98 g,0.00 g
5653,"Cereals ready-to-eat, Date & Pecan, Raisin, GREAT GRAINS, POST",100 g,378,7.1g,7.90 g,74.30 g
5654,"Soup, single brand, ready-to-serve, chunky, potato ham chowder",100 g,80,5.2g,2.70 g,5.60 g
5655,"Beans, solids and liquids, no salt added, canned, yellow, snap",100 g,15,0.1g,0.80 g,3.50 g
5656,"Fish, drained solids, without salt, canned in oil, light, tuna",100 g,198,8.2g,29.13 g,0.00 g
5657,"Fish, drained solids, without salt, canned in oil, white, tuna",100 g,186,8.1g,26.53 g,0.00 g
5658,"Tortillas, without added calcium, flour, ready-to-bake or -fry",100 g,325,7.1g,8.70 g,55.60 g
5659,"Formulated bar, mixed flavors, ZONE PERFECT CLASSIC CRUNCH BAR",100 g,422,14g,30.00 g,45.00 g
5660,"Beans, with salt, boiled, cooked, mature seeds, great northern",100 g,118,0.5g,8.33 g,21.09 g
5661,"Nuts, lightly salted, without peanuts, oil roasted, mixed nuts",100 g,607,50g,17.86 g,25.00 g
5662,"Pork, braised, cooked, separable lean only, whole, loin, fresh",100 g,204,9.1g,28.57 g,0.00 g
5663,"Pork, roasted, cooked, separable lean only, whole, loin, fresh",100 g,209,9.6g,28.62 g,0.00 g
5664,"Pork, broiled, cooked, separable lean only, whole, loin, fresh",100 g,210,9.8g,28.57 g,0.00 g
5665,"PREGO Pasta, ready-to-serve, Mushroom and Garlic Italian Sauce",100 g,62,1.9g,1.54 g,10.00 g
5666,"Peas and onions, without salt, drained, boiled, cooked, frozen",100 g,45,0.2g,2.54 g,8.63 g
5667,"Chicken breast, prepackaged, sliced, rotisserie seasoned, deli",100 g,98,1.9g,17.40 g,2.92 g
5668,"Bread, enriched (includes corn muffin mix), dry mix, cornbread",100 g,418,12g,7.00 g,69.50 g
5669,"Infant formula, ready-to-feed, low iron, ENFAMIL, MEAD JOHNSON",100 g,63,3.5g,1.38 g,7.18 g
5670,"GARDENBURGER Sun-Dried Tomato Basil Burger, unprepared, frozen",100 g,137,3.6g,5.50 g,23.70 g
5671,"SUNSHINE, Duoz Smoked Cheddar Monterey Jack Crackers, CHEEZ-IT",100 g,507,26g,9.00 g,60.80 g
5672,"Milk, with added vitamin A and vitamin D, instant, nonfat, dry",100 g,358,0.7g,35.10 g,52.19 g
5673,"Fast foods, large patty; with condiments, cheeseburger; single",100 g,269,14g,15.21 g,19.72 g
5674,"Fast foods, large patty; with condiments, cheeseburger; double",100 g,272,16g,16.96 g,14.43 g
5675,"Beverages, prepared with fat free milk, powder, chocolate malt",100 g,49,0.2g,3.25 g,8.64 g
5676,"Pork, unheated, separable fat (from ham and arm picnic), cured",100 g,579,61g,5.68 g,0.09 g
5677,"Cocoa, HERSHEY'S European Style Cocoa, unsweetened, dry powder",100 g,410,10g,20.00 g,60.00 g
5678,"Beverages, prepared with whole milk, powder, Eggnog-flavor mix",100 g,95,3g,2.93 g,14.20 g
5679,"Candies, M&M's MINIs Milk Chocolate Candies, MARS SNACKFOOD US",100 g,502,23g,4.78 g,68.40 g
5680,"Toaster Pastries, Frosted cherry, KELLOGG'S POP TARTS, KELLOGG",100 g,397,10g,4.20 g,72.00 g
5681,"Fast Food, thin crust, sausage topping, 14"" pizza, Pizza Chain",100 g,321,18g,13.36 g,27.00 g
5682,"Soup, prepared with equal volume water, canned, cream of onion",100 g,44,2.2g,1.13 g,5.20 g
5683,"SUBWAY, SUBWAY CLUB sub on white bread with lettuce and tomato",100 g,146,2.4g,10.66 g,20.36 g
5684,"Pork, unheated, separable lean only, bone-in, rump, ham, cured",100 g,125,2.9g,24.46 g,0.32 g
5685,"Milk, with added vitamin A and vitamin D, regular, nonfat, dry",100 g,362,0.8g,36.16 g,51.98 g
5686,"CAMPBELL'S CHUNKY Soups, Fajita Chicken with Rice & Beans Soup",100 g,53,0.6g,2.86 g,9.39 g
5687,"CAMPBELL'S CHUNKY Soups, Chicken Broccoli Cheese & Potato Soup",100 g,86,4.5g,2.86 g,8.16 g
5688,"Soup, ready-to-serve, canned, reduced sodium, chunky vegetable",100 g,50,0.5g,1.16 g,10.28 g
5689,"Cereals ready-to-eat, KASHI GOLEAN CRISP Toasted Berry Crumble",100 g,368,8.2g,18.00 g,66.69 g
5690,"Veal, braised, cooked, separable lean and fat, blade, shoulder",100 g,225,10g,31.26 g,0.00 g
5691,"Soup, prepared with equal volume water, canned, bean with pork",100 g,63,2.2g,2.88 g,8.31 g
5692,"Margarine-like, soybean oil and butter, margarine-butter blend",100 g,727,80g,0.31 g,0.77 g
5693,"Squash, unprepared, frozen, crookneck and straightneck, summer",100 g,20,0.1g,0.83 g,4.80 g
5694,"Squash, without salt, drained, boiled, cooked, scallop, summer",100 g,16,0.2g,1.03 g,3.30 g
5695,"CAMPBELL'S Soup on the Go, HEALTHY REQUEST Classic Tomato Soup",100 g,39,0g,0.98 g,9.18 g
5696,"Sweet rolls, baked, refrigerated dough with frosting, cinnamon",100 g,362,13g,5.40 g,56.10 g
5697,"Cereals ready-to-eat, MOTHER'S Toasted Oat Bran cereal, QUAKER",100 g,372,5g,11.45 g,75.41 g
5698,"Cereals, dry, with raisins and spice, fortified, instant, oats",100 g,360,4g,8.45 g,76.33 g
5699,"CAMPBELL'S Red and White, condensed, Vegetarian Vegetable Soup",100 g,71,0.4g,2.38 g,14.29 g
5700,"Cheese, without added vitamin D, American, pasteurized process",100 g,371,32g,18.13 g,3.70 g
5701,"Veal, separable lean and fat, bone-in, hind, shank, Australian",100 g,144,7.2g,19.78 g,0.00 g
5702,"Beverages, citrus flavor, sugar-free, VAULT Zero, Energy drink",100 g,1,0.1g,0.25 g,0.70 g
5703,"Cabbage, with salt, drained, boiled, cooked, chinese (pe-tsai)",100 g,14,0.2g,1.50 g,2.41 g
5704,"Onions, without salt, drained, boiled, cooked, chopped, frozen",100 g,28,0.1g,0.77 g,6.59 g
5705,"Babyfood, junior, with applesauce and bananas, oatmeal, cereal",100 g,75,0.7g,1.30 g,15.80 g
5706,"Macaroni and cheese dinner with dry sauce mix, uncooked, boxed",100 g,379,4.8g,13.86 g,70.12 g
5707,"Chicken, batter, fried, cooked, skin only, broilers or fryers",100 g,394,29g,10.32 g,23.15 g
5708,"Vegetables, with salt, drained, boiled, cooked, frozen, mixed",100 g,60,0.2g,2.86 g,13.09 g
5709,"Snacks, M&M's milk chocolate, KUDOS Whole Grain Bar, M&M MARS",100 g,415,12g,3.78 g,73.01 g
5710,"Beverages, prepared with water, powder, lemonade-flavor drink",100 g,27,0.1g,0.00 g,6.90 g
5711,"Beef, raw, all grades, separable lean and fat, chuck for stew",100 g,128,4.5g,21.75 g,0.16 g
5712,"Bread, made with nonfat dry milk, prepared from recipe, white",100 g,274,2.6g,7.70 g,53.60 g
5713,"Beverages, assorted flavors, calorie-free, Powerade Zero Ion4",100 g,0,0g,0.00 g,0.00 g
5714,"Cereals ready-to-eat, QUAKER Honey Graham LIFE Cereal, QUAKER",100 g,373,4.1g,9.33 g,78.56 g
5715,"Margarine-like, sweetened, stick or tub, vegetable oil spread",100 g,534,52g,0.00 g,16.70 g
5716,"Fish, canned (Alaska Native), kippered, chinook, king, salmon",100 g,266,16g,30.70 g,0.00 g
5717,"Chicken, roasted, cooked, meat only, back, broilers or fryers",100 g,239,13g,28.19 g,0.00 g
5718,"MORNINGSTAR FARMS Mushroom Lover's Burger, unprepared, frozen",100 g,168,8.2g,14.30 g,9.20 g
5719,"Crustaceans, moist heat, cooked, mixed species, spiny lobster",100 g,143,1.9g,26.41 g,3.12 g
5720,"Beef, broiled, cooked, patty, 90% lean meat / 10% fat, ground",100 g,217,12g,26.11 g,0.00 g
5721,"Beef, broiled, cooked, patty, 85% lean meat / 15% fat, ground",100 g,250,15g,25.93 g,0.00 g
5722,"Beans, solids and liquids, seasoned, all styles, canned, snap",100 g,16,0.2g,0.83 g,3.49 g
5723,"Beef, pan-fried, cooked, liver, variety meats and by-products",100 g,175,4.7g,26.52 g,5.16 g
5724,"CAMPBELL'S HEALTHY REQUEST, condensed, Cream of Mushroom Soup",100 g,55,1.7g,1.29 g,8.60 g
5725,"Cereals ready-to-eat, Big Bite, KELLOGG'S FROSTED MINI-WHEATS",100 g,350,1.6g,9.20 g,83.40 g
5726,"KEEBLER, Mini Brownies, FUDGE SHOPPE, 100 Calorie RIGHT BITES",100 g,455,20g,4.50 g,65.10 g
5727,"Chicken, raw, meat only, thigh, dark meat, broilers or fryers",100 g,121,4.1g,19.66 g,0.00 g
5728,"Chicken, stewed, cooked, meat only, thigh, broilers or fryers",100 g,195,9.8g,25.00 g,0.00 g
5729,"CAMPBELL'S, condensed, 25% Less Sodium Cream of Mushroom Soup",100 g,89,6.5g,1.61 g,6.45 g
5730,"Soup, prepared with equal volume water, canned, beef mushroom",100 g,30,1.2g,2.37 g,2.60 g
5731,"Cereals ready-to-eat, KELLOGG'S KRAVE double chocolate cereal",100 g,397,11g,7.10 g,75.90 g
5732,"Veal, pan-fried, cooked, brain, variety meats and by-products",100 g,213,17g,14.48 g,0.00 g
5733,"Lamb, braised, cooked, kidneys, variety meats and by-products",100 g,137,3.6g,23.65 g,0.99 g
5734,"Veal, braised, cooked, kidneys, variety meats and by-products",100 g,163,5.7g,26.32 g,0.00 g
5735,"Soup, prepared with equal volume water, canned, tomato bisque",100 g,50,1g,0.92 g,9.60 g
5736,"Chrysanthemum, without salt, drained, boiled, cooked, garland",100 g,20,0.1g,1.64 g,4.31 g
5737,"Pork, raw, chitterlings, variety meats and by-products, fresh",100 g,182,17g,7.64 g,0.00 g
5738,"Ravioli, canned, with tomato sauce or meat sauce, meat-filled",100 g,97,3.4g,3.24 g,13.26 g
5739,"Fast foods, regular patty; with condiments, hamburger; single",100 g,263,10g,13.30 g,29.57 g
5740,"Babyfood, strained, papaya and applesauce with tapioca, fruit",100 g,70,0.1g,0.20 g,18.90 g
5741,"Rice, with salt, enriched, cooked, regular, long-grain, white",100 g,130,0.3g,2.69 g,28.17 g
5742,"Beef, broiled, cooked, patty, 70% lean meat / 30% fat, ground",100 g,277,19g,25.38 g,0.00 g
5743,"MORNINGSTAR FARMS Spicy Black Bean Burger, unprepared, frozen",100 g,168,6.1g,14.60 g,19.10 g
5744,"Cereals ready-to-eat, Honey Toasted Oat, KASHI HEART TO HEART",100 g,364,5g,11.39 g,78.69 g
5745,"ON THE BORDER, cheese and lettuce, soft taco with ground beef",100 g,229,11g,13.19 g,19.28 g
5746,"Soup, prepared with equal volume water, canned, chicken broth",100 g,16,0.6g,2.02 g,0.38 g
5747,"Soup, prepared with equal volume water, canned, chicken gumbo",100 g,23,0.6g,1.08 g,3.43 g
5748,"Infant formula, ready-to-feed, soy, store brand, PBM PRODUCTS",100 g,63,3.5g,1.80 g,6.09 g
5749,"Fast Food, thin crust, cheese topping, 14"" pizza, Pizza Chain",100 g,302,14g,12.85 g,31.20 g
5750,"Mustard greens, without salt, drained, boiled, cooked, frozen",100 g,19,0.3g,2.27 g,3.11 g
5751,"Cereals ready-to-eat, CAP'N CRUNCH with CRUNCHBERRIES, QUAKER",100 g,397,4.8g,4.45 g,85.93 g
5752,"Babyfood, strained, vegetables and dumplings and beef, dinner",100 g,48,0.9g,2.00 g,7.70 g
5753,"Cereals, dry, cherry pistachio, REAL MEDLEYS, oatmeal, QUAKER",100 g,394,11g,12.02 g,66.73 g
5754,"Snacks, cheese-flavor, made from dried potatoes, potato chips",100 g,551,37g,7.00 g,50.60 g
5755,"Veal, cooked, separable fat, composite of trimmed retail cuts",100 g,642,67g,9.42 g,0.00 g
5756,"Lamb, raw, separable lean only, breast, imported, New Zealand",100 g,149,8g,18.31 g,1.02 g
5757,"Lamb, soaked and fried, cooked, kidney, imported, New Zealand",100 g,112,3.6g,19.78 g,0.18 g
5758,"Beef, pan-fried, cooked, brain, variety meats and by-products",100 g,196,16g,12.57 g,0.00 g
5759,"Veal, raw, separable lean and fat, rib roast, rib, Australian",100 g,201,13g,19.60 g,1.15 g
5760,"CAMPBELL'S Red and White, condensed, New England Clam Chowder",100 g,71,2g,3.17 g,10.32 g
5761,"Pineapple, solids and liquids, extra heavy syrup pack, canned",100 g,83,0.1g,0.34 g,21.50 g
5762,"Cherries, solids and liquids, light syrup pack, canned, sweet",100 g,67,0.2g,0.61 g,17.29 g
5763,"Pie crust, made with enriched flour, baked, frozen, deep dish",100 g,521,32g,6.10 g,52.47 g
5764,"Broccoli, with salt, drained, boiled, cooked, chopped, frozen",100 g,28,0.1g,3.10 g,5.35 g
5765,"Collards, with salt, drained, boiled, cooked, chopped, frozen",100 g,36,0.4g,2.97 g,7.10 g
5766,"Lima beans, without salt, boiled, cooked, mature seeds, large",100 g,115,0.4g,7.80 g,20.88 g
5767,"Beverages, fortified with vitamin C, Apple juice light, MOTTS",100 g,22,0.1g,0.00 g,5.10 g
5768,"Chicken, fried, cooked, meat only, breast, broilers or fryers",100 g,187,4.7g,33.44 g,0.51 g
5769,"Babyfood, prepared with whole milk, with honey, mixed, cereal",100 g,115,3.6g,5.00 g,15.90 g
5770,"Cereals ready-to-eat, CINNAMON HARVEST, KASHI ORGANIC PROMISE",100 g,336,1.4g,11.00 g,79.00 g
5771,"Cereals ready-to-eat, GREAT GRAINS Crunchy Pecan Cereal, POST",100 g,403,11g,9.00 g,73.00 g
5772,"Snacks, original flavor, Multigrain Snack, SUNCHIPS, FRITOLAY",100 g,491,21g,7.95 g,67.26 g
5773,"KEEBLER, Reduced Fat, Pretzel Crackers, FLIPSIDES, TOWN HOUSE",100 g,450,16g,7.20 g,70.40 g
5774,"KEEBLER, Garlic Herb, Pretzel Crackers, FLIPSIDES, TOWN HOUSE",100 g,486,24g,6.50 g,63.00 g
5775,"Biscuits, higher fat, refrigerated dough, plain or buttermilk",100 g,307,11g,6.66 g,46.32 g
5776,"Restaurant, Arroz con grandules (rice and pigeonpeas), Latino",100 g,182,5g,3.50 g,30.75 g
5777,"Beans, solids and liquids, regular pack, canned, yellow, snap",100 g,15,0.1g,0.80 g,3.50 g
5778,"Beans, solids and liquids, no salt added, canned, green, snap",100 g,15,0.1g,0.80 g,3.50 g
5779,"HORMEL ALWAYS TENDER, Lemon Garlic-Flavored, Pork Loin Filets",100 g,118,4.2g,17.83 g,1.79 g
5780,"Beef, broiled, cooked, patty, 80% lean meat / 20% fat, ground",100 g,270,18g,25.75 g,0.00 g
5781,"Beef, broiled, cooked, patty, 75% lean meat / 25% fat, ground",100 g,279,19g,25.56 g,0.00 g
5782,"KEEBLER, Reduced Fat, 1/2 Dipped, Fudge Grahams, FUDGE SHOPPE",100 g,470,17g,5.60 g,73.70 g
5783,"Veal, pan-fried, cooked, liver, variety meats and by-products",100 g,193,6.5g,27.37 g,4.47 g
5784,"Lamb, pan-fried, cooked, liver, variety meats and by-products",100 g,238,13g,25.53 g,3.78 g
5785,"KEEBLER, White Fudge Dipped Pretzels, 100 Calorie RIGHT BITES",100 g,483,20g,7.00 g,68.80 g
5786,"Soup, prepared with equal volume milk, canned, cream of onion",100 g,75,3.8g,2.74 g,7.40 g
5787,"MORNINGSTAR FARMS Breakfast Sausage Links, unprepared, frozen",100 g,159,6.1g,19.20 g,6.80 g
5788,"Babyfood, strained, vegetables and noodles and turkey, dinner",100 g,44,1.2g,1.20 g,6.80 g
5789,"USDA Commodity, raw, frozen, bulk/links/patties, pork sausage",100 g,231,19g,14.95 g,0.00 g
5790,"PREGO Pasta, ready-to-serve, Flavored with Meat Italian Sauce",100 g,62,1.9g,1.54 g,10.00 g
5791,"Cocoa, processed with alkali, hi-fat or breakfast, dry powder",100 g,479,24g,16.80 g,49.71 g
5792,"CAMPBELL'S, condensed, cream of chicken soup, HEALTHY REQUEST",100 g,50,1.5g,3.00 g,7.50 g
5793,"Babyfood, strained, bananas and pineapple with tapioca, fruit",100 g,65,0g,0.20 g,17.80 g
5794,"Squash, without salt, mashed, boiled, cooked, hubbard, winter",100 g,30,0.4g,1.48 g,6.46 g
5795,"KASHI Pizza, unprepared, frozen, single serve, Greek Tzatziki",100 g,203,6.6g,11.10 g,29.70 g
5796,"Infant formula, powder, with iron, GOOD START SUPREME, NESTLE",100 g,509,26g,11.30 g,57.32 g
5797,"Lamb, pan-fried, cooked, brain, variety meats and by-products",100 g,273,22g,16.97 g,0.00 g
5798,"SUBWAY, roast beef sub on white bread with lettuce and tomato",100 g,155,2.7g,12.17 g,20.34 g
5799,"Beverages, canned, without added nutrients, fruit punch drink",100 g,48,0g,0.00 g,11.97 g
5800,"Pork, roasted, separable fat (from ham and arm picnic), cured",100 g,591,62g,7.64 g,0.00 g
5801,"Cereals ready-to-eat, KELLOGG'S APPLE JACKS with marshmallows",100 g,378,2.8g,4.30 g,89.60 g
5802,"Chicken, roasted, cooked, meat only, wing, broilers or fryers",100 g,203,8.1g,30.46 g,0.00 g
5803,"Fast foods, regular patty; with condiments, hamburger; double",100 g,268,15g,14.80 g,18.02 g
5804,"Cereals ready-to-eat, CAP'N CRUNCH'S Halloween Crunch, QUAKER",100 g,402,5.7g,4.41 g,85.14 g
5805,"Potatoes, dry form, granules without milk, dehydrated, mashed",100 g,372,0.5g,8.22 g,85.51 g
5806,"Seal, partially dried (Alaska Native), meat, bearded (Oogruk)",100 g,270,2.3g,62.38 g,0.00 g
5807,"Cereals, dry, enriched, regular and quick, yellow, corn grits",100 g,368,1.5g,6.72 g,79.91 g
5808,"CRUNCHMASTER, Gluten-Free, Snack Crackers, Multi-Grain Crisps",100 g,456,16g,10.91 g,67.18 g
5809,"Pork, raw, frozen, ears, variety meats and by-products, fresh",100 g,234,15g,22.45 g,0.60 g
5810,"Seeds, without salt, roasted, whole, pumpkin and squash seeds",100 g,446,19g,18.55 g,53.75 g
5811,"Beef, simmered, cooked, tongue, variety meats and by-products",100 g,284,22g,19.29 g,0.00 g
5812,"Soup, prepared with equal volume water, canned, turkey noodle",100 g,28,0.8g,1.60 g,3.54 g
5813,"CAMPBELL'S CHUNKY Soups, Grilled Chicken & Sausage Gumbo Soup",100 g,57,1.2g,2.86 g,8.57 g
5814,"Beverages, fortified with vitamin C, light, Apple juice drink",100 g,22,0.1g,0.00 g,5.10 g
5815,"Mollusks, made from surimi, imitation, mixed species, scallop",100 g,99,0.4g,12.77 g,10.62 g
5816,"Puddings, prepared with whole milk, regular, dry mix, vanilla",100 g,113,2.9g,2.80 g,18.92 g
5817,"Puddings, prepared with whole milk, instant, dry mix, vanilla",100 g,114,2.9g,2.70 g,19.70 g
5818,"Milk, with added vitamin A and vitamin D, fat free, chocolate",100 g,67,0g,3.39 g,13.46 g
5819,"Peaches, solids and liquids, heavy syrup pack, canned, spiced",100 g,75,0.1g,0.41 g,20.08 g
5820,"Chicken, not reheated, frozen, precooked, white meat, nuggets",100 g,261,15g,14.36 g,16.24 g
5821,"Turkey from whole, roasted, cooked, meat and skin, light meat",100 g,177,5.6g,29.55 g,0.05 g
5822,"Babyfood, toddler, chicken and noodle with vegetables, dinner",100 g,66,1.7g,3.80 g,8.89 g
5823,"Crustaceans, breaded and fried, cooked, mixed species, shrimp",100 g,242,12g,21.39 g,11.47 g
5824,"CAMPBELL'S Red and White, condensed, Fiesta Nacho Cheese Soup",100 g,97,6.5g,2.42 g,8.06 g
5825,"Bread, refrigerated, commercially prepared, whole wheat, naan",100 g,286,6.7g,10.20 g,46.21 g
5826,"Cereals, banana bread, Weight Control Instant Oatmeal, QUAKER",100 g,361,6.2g,16.50 g,64.42 g
5827,"Cereals, dry, maple and brown sugar, fortified, instant, oats",100 g,368,4.7g,9.25 g,76.67 g
5828,"Fast Foods, meat and skin and breading, Breast, Fried Chicken",100 g,230,12g,23.51 g,6.03 g
5829,"Lamb, soaked and fried, cooked, testes, imported, New Zealand",100 g,125,4.6g,21.01 g,0.00 g
5830,"Lamb, soaked and fried, cooked, brains, imported, New Zealand",100 g,154,11g,14.03 g,0.00 g
5831,"Margarine-like, with salt, tub, 60% fat, vegetable oil spread",100 g,533,60g,0.17 g,0.86 g
5832,"LITTLE CAESARS 14"" Original Round Cheese Pizza, Regular Crust",100 g,265,9.5g,13.39 g,31.50 g
5833,"Babyfood, strained, with applesauce and bananas, rice, cereal",100 g,80,0.4g,1.20 g,17.10 g
5834,"USDA Commodity, raw, frozen, bulk/coarse ground, ground, beef",100 g,228,17g,17.37 g,0.00 g
5835,"Seeds, without salt, roasted, pumpkin and squash seed kernels",100 g,574,49g,29.84 g,14.71 g
5836,"Corn, unprepared, kernels cut off cob, frozen, yellow, sweet",100 g,88,0.8g,3.02 g,20.71 g
5837,"Chicken, flour, fried, cooked, skin only, broilers or fryers",100 g,502,43g,19.09 g,9.34 g
5838,"Beverages, Ready-to-Drink, Nutritional Shake, ENSURE, ABBOTT",100 g,105,2.5g,3.80 g,16.88 g
5839,"Cheese, low sodium, cheddar or American, pasteurized process",100 g,376,31g,22.20 g,1.60 g
5840,"Fish, smoked (Alaska Native), canned, (sockeye), red, salmon",100 g,206,7.3g,35.19 g,0.00 g
5841,"Veal, braised, cooked, thymus, variety meats and by-products",100 g,125,3.1g,22.67 g,0.00 g
5842,"Veal, braised, cooked, spleen, variety meats and by-products",100 g,129,2.9g,24.08 g,0.00 g
5843,"Lamb, braised, cooked, spleen, variety meats and by-products",100 g,156,4.8g,26.46 g,0.00 g
5844,"Cookies, with creme filling, chocolate sandwich, gluten-free",100 g,474,18g,2.19 g,76.03 g
5845,"Chicken, stewed, cooked, meat only, back, broilers or fryers",100 g,209,11g,25.31 g,0.00 g
5846,"Beans, solids and liquids, regular pack, canned, green, snap",100 g,15,0.2g,0.72 g,3.27 g
5847,"Cereals ready-to-eat, chocolate-flavored frosted puffed corn",100 g,405,3.5g,3.34 g,87.20 g
5848,"Beans, with salt, boiled, cooked, mature seeds, black turtle",100 g,130,0.4g,8.18 g,24.35 g
5849,"USDA Commodity, unheated, cooked, boneless, ham, cured, pork",100 g,133,6.2g,17.44 g,0.69 g
5850,"Puddings, prepared with 2% milk, instant, dry mix, chocolate",100 g,105,1.9g,3.15 g,18.89 g
5851,"Soybeans, with salt, steamed, cooked, sprouted, mature seeds",100 g,81,4.5g,8.47 g,6.53 g
5852,"Puddings, prepared with whole milk, instant, dry mix, banana",100 g,115,2.8g,2.62 g,19.76 g
5853,"Chicken, fried, cooked, meat only, thigh, broilers or fryers",100 g,218,10g,28.18 g,1.18 g
5854,"Peppers, without salt, drained, boiled, cooked, green, sweet",100 g,28,0.2g,0.92 g,6.70 g
5855,"Shortening industrial, soybean (hydrogenated) and cottonseed",100 g,884,100g,0.00 g,0.00 g
5856,"Cookies, plain or honey (includes cinnamon), graham crackers",100 g,430,11g,6.69 g,77.66 g
5857,"Rice, dry, enriched, precooked or instant, long-grain, white",100 g,380,0.9g,7.82 g,82.32 g
5858,"Grapefruit, solids and liquids, water pack, canned, sections",100 g,36,0.1g,0.58 g,9.15 g
5859,"Nuts, raw (liquid expressed from grated meat), coconut cream",100 g,330,35g,3.63 g,6.65 g
5860,"Cereals, dry, enriched, regular and quick, white, corn grits",100 g,370,1.8g,7.65 g,79.09 g
5861,"Cereals ready-to-eat, Dulce De Leche CHEERIOS, GENERAL MILLS",100 g,378,5.7g,6.50 g,82.00 g
5862,"Cereals ready-to-eat, APPLE CINNAMON CHEERIOS, GENERAL MILLS",100 g,386,6.1g,8.30 g,79.90 g
5863,"Wheat flour, calcium-fortified, enriched, all-purpose, white",100 g,364,1g,10.33 g,76.31 g
5864,"Frostings, prepared with margarine, dry mix, creamy, vanilla",100 g,413,13g,0.34 g,74.28 g
5865,"Cookies, reduced fat, with creme filling, chocolate sandwich",100 g,436,13g,2.94 g,76.17 g
5866,"Restaurant, spaghetti with pomodoro sauce (no meat), Italian",100 g,104,1.9g,3.90 g,17.77 g
5867,"Cereals ready-to-eat, RAISIN BRAN CRUNCH, KELLOGG'S, KELLOGG",100 g,354,1.8g,6.59 g,84.90 g
5868,"CAMPBELL'S CHUNKY Soups, Hearty Chicken with Vegetables Soup",100 g,45,0.8g,2.45 g,6.94 g
5869,"HOT POCKETS, frozen, meatballs & mozzarella stuffed sandwich",100 g,253,10g,9.32 g,30.45 g
5870,"Squash, with salt, boiled, cooked, frozen, butternut, winter",100 g,39,0.1g,1.23 g,10.04 g
5871,"Beef, braised, cooked, spleen, variety meats and by-products",100 g,145,4.2g,25.10 g,0.00 g
5872,"Beef, braised, cooked, thymus, variety meats and by-products",100 g,319,25g,21.85 g,0.00 g
5873,"Cereals ready-to-eat, RAISIN VINEYARD, KASHI ORGANIC PROMISE",100 g,342,0.8g,8.69 g,79.90 g
5874,"Candies, TWIX chocolate fudge cookie bars, MARS SNACKFOOD US",100 g,550,33g,7.30 g,56.00 g
5875,"Lamb, soaked and fried, cooked, liver, imported, New Zealand",100 g,168,6.6g,25.80 g,1.48 g
5876,"Snacks, cheese-flavor, puffs or twists, extruded, corn-based",100 g,560,36g,5.85 g,53.53 g
